vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,ratecodeid,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type
2,2015-01-04T19:32:21.000,2015-01-04T19:39:52.000,N,1,-73.942901611328125,40.753456115722656,-73.911849975585938,40.781917572021484,2,2.7,9.5,0,0.5,1.9,0,0.3,12.2,1,1
2,2015-02-05T23:05:02.000,2015-02-05T23:11:00.000,N,1,-73.949851989746094,40.801662445068359,-73.949127197265625,40.814685821533203,1,1.21,6.5,0.5,0.5,0,0,0.3,7.8,1,1
2,2015-02-09T10:18:59.000,2015-02-09T10:30:02.000,N,1,-73.985641479492188,40.685752868652344,-73.990653991699219,40.702701568603516,1,2.05,9.5,0,0.5,1,0,0.3,11.3,1,1
1,2015-01-16T09:38:05.000,2015-01-16T09:48:33.000,N,1,-73.95489501953125,40.669239044189453,-73.931304931640625,40.679359436035156,1,1.9,9,0,0.5,10,0,0.3,19.8,1,1
2,2015-02-02T15:50:24.000,2015-02-02T16:08:48.000,N,1,-73.855255126953125,40.751865386962891,-73.890487670898438,40.746131896972656,1,2.34,12,0,0.5,0,0,0.3,12.8,2,1
2,2015-02-22T13:00:13.000,2015-02-22T13:59:31.000,N,1,-73.958763122558594,40.677497863769531,-73.955116271972656,40.679172515869141,1,22,65.5,0,0.5,16.58,0,0.3,82.88,1,1
1,2015-01-26T07:23:17.000,2015-01-26T07:31:42.000,N,1,-73.939170837402344,40.805118560791016,-73.9449462890625,40.815948486328125,1,1.2,7.5,0,0.5,0.5,0,0.3,8.8,1,1
1,2015-02-23T12:41:44.000,2015-02-23T12:48:09.000,N,1,-73.929725646972656,40.756771087646484,-73.927452087402344,40.768150329589844,1,1,6,0,0.5,0,0,0.3,6.8,2,1
2,2015-02-20T09:43:43.000,2015-02-20T09:46:16.000,N,1,-73.944625854492188,40.834674835205078,-73.939651489257813,40.830131530761719,1,0.5,4,0,0.5,0,0,0.3,4.8,2,1
2,2015-02-12T10:36:32.000,2015-02-12T10:50:29.000,N,1,-73.979934692382813,40.677101135253906,-73.930091857910156,40.670574188232422,1,3.23,12.5,0,0.5,2,0,0.3,15.3,1,1
2,2015-02-26T17:48:45.000,2015-02-26T17:51:52.000,N,1,-73.954765319824219,40.789302825927734,-73.961021423339844,40.780677795410156,1,0.68,4.5,1,0.5,1.2,0,0.3,7.5,1,1
2,2015-02-21T23:29:39.000,2015-02-22T00:04:01.000,N,1,-73.928192138671875,40.763660430908203,-73.976066589355469,40.744804382324219,1,5.88,25,0.5,0.5,0,0,0.3,26.3,2,1
2,2015-01-16T12:41:58.000,2015-01-16T12:47:27.000,N,1,-73.998252868652344,40.682094573974609,-73.994163513183594,40.69549560546875,1,1.2,6,0,0.5,1.5,0,0.3,8.3,1,1
2,2015-01-03T01:53:22.000,2015-01-03T02:08:09.000,N,1,-73.920486450195313,40.767925262451172,-73.874710083007812,40.754230499267578,1,3.61,14,0.5,0.5,0,0,0.3,15.3,2,1
2,2015-02-28T23:45:50.000,2015-02-28T23:57:33.000,N,1,-73.939796447753906,40.805461883544922,-73.919029235839844,40.848655700683594,2,4.77,15.5,0.5,0.5,0,0,0.3,16.8,1,1
2,2015-02-04T13:18:18.000,2015-02-04T13:21:22.000,N,1,-73.937911987304688,40.812442779541016,-73.937660217285156,40.804531097412109,1,0.72,4.5,0,0.5,0,0,0.3,5.3,2,1
